key,entry_type,author,year,title,journal,booktitle,publisher,volume,number,pages,doi,url
jessop2004cultural,article,"Jessop, Bob",2004,Critical semiotic analysis and cultural political economy,Critical Discourse Studies,,,1,2,159--174,10.1080/17405900410001674506,
jessop2001predisciplinary,article,"Jessop, Bob and Sum, Ngai-Ling",2001,Pre-disciplinary and Post-disciplinary Perspectives,New Political Economy,,,6,1,89--101,10.1080/13563460020027777,
jessop2008geoforum,article,"Jessop, Bob and Oosterlynck, Stijn",2008,Cultural Political Economy: On Making the Cultural Turn without Falling into Soft Economic Sociology,Geoforum,,,39,3,1155--1169,10.1016/j.geoforum.2006.12.008,
jessop2010cps,article,"Jessop, Bob",2010,Cultural Political Economy and Critical Policy Studies,Critical Policy Studies,,,3,3-4,336--356,10.1080/19460171003619741,
sumjessop2013,book,"Sum, Ngai-Ling and Jessop, Bob",2013,Towards a Cultural Political Economy: Putting Culture in its Place in Political Economy,,,Edward Elgar,,,,,
sayer2001antipode,article,"Sayer, Andrew",2001,For a Critical Cultural Political Economy,Antipode,,,33,4,687--708,10.1111/1467-8330.00206,
pierson2000increasing,article,"Pierson, Paul",2000,"Increasing returns, path dependence, and the study of politics",American Political Science Review,,Cambridge University Press,94,2,251--267,10.2307/2586011,
north1990institutions,book,"North, Douglass C.",1990,"Institutions, Institutional Change and Economic Performance",,,Cambridge University Press,,,,,
david1985clio,article,"David, Paul A.",1985,Clio and the economics of QWERTY,American Economic Review,,,75,2,332--337,,
arthur1994increasing,book,"Arthur, W. Brian",1994,Increasing Returns and Path Dependence in the Economy,,,University of Michigan Press,,,,,
mahoney2010explaining,book,"Mahoney, James and Thelen, Kathleen",2010,"Explaining Institutional Change: Ambiguity, Agency, and Power",,,Cambridge University Press,,,,,
sydow2009organizational,article,"Sydow, J{\""o}rg and Schrey{""o}gg, Georg and Koch, Jochen}, journal={Academy of Management Review}, volume={34}, number={4}, pages={689--709}, year={2009",,Organizational path dependence: Opening the black box,,,,,,,,
pierson2004politics,book,"Pierson, Paul",2004,"Politics in Time: History, Institutions, and Social Analysis",,,Princeton University Press,,,,,
vergne2010path,article,"Vergne, Jean-Philippe and Durand, Rodolphe",2010,"The Missing Link Between the Theory and Empirics of Path Dependence: Conceptual Clarification, Testability Issue, and Methodological Implications",Journal of Management Studies,,,47,4,736--759,10.1111/j.1467-6486.2009.00913.x,
tang2018prevalence,article,"Tang, Xinfeng and Tang, Suqin and Ren, Zhihong and Wong, Daniel Fu Keung",2019,Prevalence of depressive symptoms among adolescents in secondary school in mainland China: A systematic review and meta-analysis,Journal of Affective Disorders,,,245,,498--507,10.1016/j.jad.2018.11.043,
liu2020mental,article,"Chi, Xinli and Liang, Kaixin and Chen, Sitong and Huang, Qian and Huang, Lixiong and Yu, Qian and Jiao, Chao and Guo, Tingting and Veronese, Nicola and Zou, Liye",2021,Mental health problems among Chinese adolescents during the COVID-19: The importance of nutrition and physical activity,International Journal of Clinical and Health Psychology,,,21,,100218,10.1016/j.ijchp.2020.100218,
