reform_wave,term_cn,term_en,doc_type,issuing_body,title_cn,title_en,doc_number,issue_date,url,access_date,notes
Quality Education,suzhi jiaoyu,Quality Education,core policy document,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,"Add the exact central-level policy document(s) you analyzed for this reform wave, plus any authoritative interpretations/guidelines used for coding."
Quality Education,suzhi jiaoyu,Quality Education,authoritative interpretation (MoE),TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,"Include Ministry of Education interpretations/explanatory notes that were used to identify semiotic framings or implementation logics."
Quality Education,suzhi jiaoyu,Quality Education,local implementation guideline,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,"If local guidelines were used, record province/city and document metadata."
Burden Reduction,jianfu,Burden Reduction,core policy document,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,"Add each burden-reduction round (multiple decades) that you treated as a key test case."
Burden Reduction,jianfu,Burden Reduction,authoritative interpretation (MoE),TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,
Burden Reduction,jianfu,Burden Reduction,local implementation guideline,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,
Double Reduction,shuangjian,Double Reduction (2021),core policy document,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,"Add the 2021 'Double Reduction' central policy text and any relevant implementing regulations."
Double Reduction,shuangjian,Double Reduction (2021),authoritative interpretation (MoE),TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,
Double Reduction,shuangjian,Double Reduction (2021),local implementation guideline,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,TODO_FILL,

