code_family,code_name,definition,inclusion_criteria,exclusion_criteria,example_indicators,linked_mechanism
semiotic,fairness (procedural),Frames exam-based selection as objectively fair because rules and scoring appear uniform.,Statements valorizing objectivity/standardization/transparent cutoffs.,General claims about justice without reference to procedures or exams,"'objective'; 'transparent'; 'same exam'; 'scores cannot be faked'",Cultural mechanism
semiotic,meritocracy,Frames exam outcomes as reflecting effort/ability and legitimates status allocation.,Narratives equating scores with merit or deservingness.,Descriptions of inequality without merit language,"'hard work pays'; 'deserving'; 'talent selection'",Cultural mechanism
semiotic,objectivity / anti-corruption,Frames alternatives (portfolios/interviews) as corruptible while exams are incorruptible.,Mentions of corruption risks or manipulation in non-exam methods.,Anti-corruption discourse unrelated to education selection,"'cannot be manipulated'; 'prevent corruption'; 'avoid backdoor'",Cultural mechanism
semiotic,mobility / life chances,Frames the exam as the key (or only) legitimate route for upward mobility.,Mentions of rural/working-class mobility tied to gaokao.,Mobility talk not tied to education selection,"'change fate'; 'only pathway'; 'rural students access'",Cultural mechanism
semiotic,stability / legitimacy,Frames exam-centered governance as stabilizing, legitimate, and administratively governable.,Legitimation narratives emphasizing stability, order, governability.,Stability talk not tied to selection/governance,"'social stability'; 'legitimacy'; 'governability'",Political mechanism
semiotic,well-being / burden reduction,Frames reforms as protecting health, reducing workload, or caring governance.,References to workload, homework, sleep, stress and policy intent to reduce.,Student stress references without policy framing,"'reduce burden'; 'protect health'; 'sleep'",Social mechanism
structural,credentialized mobility / labor-market screening,Institutional dependence on ranked credentials as a selection shortcut.,Claims about university tiers, credential signaling, labor market screening.,Purely cultural explanations without institutional incentives,"university ranking; credentialism; screening",Structural selectivities (cross-cutting)
structural,hukou / territorial governance constraints,Constraints from household registration and territorial quotas shaping selection options.,Mentions of hukou restrictions, quotas, locality advantages.,Migration discussion without education-selection linkage,"hukou; provincial quotas",Political mechanism
structural,shadow education industry interests,Market size and vested interests that resist diversification of evaluation.,Mentions of tutoring market, lobbying, regulatory adaptation.,General private education talk not tied to incentives,"tutoring demand; industry expansion; regulation evasion",Economic mechanism
structural,governance risk containment / metrics,Incentives for officials to favor measurable, low-risk, short-term performance.,Mentions of risk aversion, accountability metrics, stability imperatives.,Vague mentions of politics without incentives/metrics,"performance metrics; risk; accountability",Political mechanism
structural,collective action trap / competition externalities,Micro-rational choices reinforcing system-level competition dynamics.,Arms-race dynamics, inability to coordinate opt-out, anxiety contagion.,Individual stress not linked to relative ranking competition,"zero-sum ranking; arms race; contagion",Social mechanism

