line_number,citation_keys,context_line
56,tang2018prevalence,"China's exam-based selection regime has delivered high measured academic performance in selected assessments, yet it generates substantial negative externalities that have prompted decades of reform with limited durable change. The \textit{gaokao} (National College Entrance Examination) system dictates the rhythm of K-12 schooling, fostering an ""examination-oriented"" culture that has been linked to a mental health crisis among adolescents. Meta-analytic evidence indicates that approximately 25\% of Chinese secondary students report depressive symptoms \citep{tang2018prevalence}, with sleep deprivation and academic stress reaching endemic levels \citep{wang2020sleep, sun2015educational}."
56,wang2020sleep;sun2015educational,"China's exam-based selection regime has delivered high measured academic performance in selected assessments, yet it generates substantial negative externalities that have prompted decades of reform with limited durable change. The \textit{gaokao} (National College Entrance Examination) system dictates the rhythm of K-12 schooling, fostering an ""examination-oriented"" culture that has been linked to a mental health crisis among adolescents. Meta-analytic evidence indicates that approximately 25\% of Chinese secondary students report depressive symptoms \citep{tang2018prevalence}, with sleep deprivation and academic stress reaching endemic levels \citep{wang2020sleep, sun2015educational}."
58,zhao2014china,"Recognizing these costs, the Chinese government has launched successive waves of reform aiming to shift from ""examination-oriented education"" to ""quality education"" (\textit{suzhi jiaoyu}). These include the \textit{suzhi jiaoyu} reforms of the 1990s, recurring ""burden reduction"" (\textit{jianfu}) policies, and the stringent ""Double Reduction"" (\textit{shuangjian}) policy of 2021. Yet, a consistent pattern emerges: reforms are systematically absorbed, converted, or circumvented. ""Quality education"" initiatives were converted into new forms of competition, where arts and sports became resume-builders for admissions \citep{zhao2014china}. Burden reduction mandates were circumvented as pressure shifted to the private sector, fueling a large-scale shadow education industry \citep{zhang2017shadow}. Even the far-reaching Double Reduction policy, while dampening the visible tutoring market, triggered adaptive responses where competition relocated to underground or informal channels \citep{yu2021double}."
58,zhang2017shadow,"Recognizing these costs, the Chinese government has launched successive waves of reform aiming to shift from ""examination-oriented education"" to ""quality education"" (\textit{suzhi jiaoyu}). These include the \textit{suzhi jiaoyu} reforms of the 1990s, recurring ""burden reduction"" (\textit{jianfu}) policies, and the stringent ""Double Reduction"" (\textit{shuangjian}) policy of 2021. Yet, a consistent pattern emerges: reforms are systematically absorbed, converted, or circumvented. ""Quality education"" initiatives were converted into new forms of competition, where arts and sports became resume-builders for admissions \citep{zhao2014china}. Burden reduction mandates were circumvented as pressure shifted to the private sector, fueling a large-scale shadow education industry \citep{zhang2017shadow}. Even the far-reaching Double Reduction policy, while dampening the visible tutoring market, triggered adaptive responses where competition relocated to underground or informal channels \citep{yu2021double}."
58,yu2021double,"Recognizing these costs, the Chinese government has launched successive waves of reform aiming to shift from ""examination-oriented education"" to ""quality education"" (\textit{suzhi jiaoyu}). These include the \textit{suzhi jiaoyu} reforms of the 1990s, recurring ""burden reduction"" (\textit{jianfu}) policies, and the stringent ""Double Reduction"" (\textit{shuangjian}) policy of 2021. Yet, a consistent pattern emerges: reforms are systematically absorbed, converted, or circumvented. ""Quality education"" initiatives were converted into new forms of competition, where arts and sports became resume-builders for admissions \citep{zhao2014china}. Burden reduction mandates were circumvented as pressure shifted to the private sector, fueling a large-scale shadow education industry \citep{zhang2017shadow}. Even the far-reaching Double Reduction policy, while dampening the visible tutoring market, triggered adaptive responses where competition relocated to underground or informal channels \citep{yu2021double}."
62,davey2007chinese,"Why does the system persist despite broad consensus on its harms and powerful political will to change it? Existing literature often attributes this failure to implementation gaps, lack of resources, or cultural resistance \citep{davey2007chinese}. While valid, these explanations tend to treat policy failure as a breakdown of execution rather than a systemic feature. They often overlook how the ""examination regime"" is stabilized by the interplay of meaning-making (how actors interpret fairness) and structural constraints (economic and political incentives). Valid critiques of the system abound, but there is a lack of a unified theoretical framework explaining the \textit{mechanisms} of its persistence and the specific ways reforms are neutralized."
84,jessop2004cultural;sumjessop2013;jessop2008geoforum,"Cultural Political Economy (CPE) provides a framework for analyzing how meaning-making and material structures co-evolve to stabilize institutional arrangements \citep{jessop2004cultural, sumjessop2013, jessop2008geoforum}. CPE synthesizes insights from political economy (attending to material interests and structural constraints) with cultural studies (attending to discourse, narratives, and meaning-making) \citep{sayer2001antipode, jessop2010cps}. Its core claim is that neither ""culture"" nor ""structure"" can be analyzed in isolation; institutions are stabilized by the mutual reinforcement of semiotic imaginaries and structural selectivities \citep{jessop2001predisciplinary}."
84,sayer2001antipode;jessop2010cps,"Cultural Political Economy (CPE) provides a framework for analyzing how meaning-making and material structures co-evolve to stabilize institutional arrangements \citep{jessop2004cultural, sumjessop2013, jessop2008geoforum}. CPE synthesizes insights from political economy (attending to material interests and structural constraints) with cultural studies (attending to discourse, narratives, and meaning-making) \citep{sayer2001antipode, jessop2010cps}. Its core claim is that neither ""culture"" nor ""structure"" can be analyzed in isolation; institutions are stabilized by the mutual reinforcement of semiotic imaginaries and structural selectivities \citep{jessop2001predisciplinary}."
84,jessop2001predisciplinary,"Cultural Political Economy (CPE) provides a framework for analyzing how meaning-making and material structures co-evolve to stabilize institutional arrangements \citep{jessop2004cultural, sumjessop2013, jessop2008geoforum}. CPE synthesizes insights from political economy (attending to material interests and structural constraints) with cultural studies (attending to discourse, narratives, and meaning-making) \citep{sayer2001antipode, jessop2010cps}. Its core claim is that neither ""culture"" nor ""structure"" can be analyzed in isolation; institutions are stabilized by the mutual reinforcement of semiotic imaginaries and structural selectivities \citep{jessop2001predisciplinary}."
88,kipnis2011governing,"\textit{Semiosis} refers to the process of meaning-making. In the context of education, semiotic imaginaries are the shared narratives and beliefs that frame how actors understand educational systems. In China, the dominant imaginary frames the \textit{gaokao} as the embodiment of meritocracy and procedural fairness. The narrative holds that ""exams are objective,"" ""scores cannot be faked,"" and ""everyone has a fair chance."" This imaginary draws on the 1,300-year legacy of the imperial examination (\textit{keju}), which embedded the cultural principle that examinations provide social mobility regardless of birth status \citep{kipnis2011governing}."
90,liu2016shadow,"Critically, this semiotic imaginary operates even when it contradicts empirical reality. Evidence shows that shadow education exacerbates inequality \citep{liu2016shadow}, yet the procedural appearance of fairness (standardized tests, numerical scores, transparent cutoffs) sustains belief in the system's legitimacy. As \citet{liu2016meritocracy} document, even families disadvantaged by the system express greater trust in exams than in alternative assessment methods like portfolios or interviews."
90,liu2016meritocracy,"Critically, this semiotic imaginary operates even when it contradicts empirical reality. Evidence shows that shadow education exacerbates inequality \citep{liu2016shadow}, yet the procedural appearance of fairness (standardized tests, numerical scores, transparent cutoffs) sustains belief in the system's legitimacy. As \citet{liu2016meritocracy} document, even families disadvantaged by the system express greater trust in exams than in alternative assessment methods like portfolios or interviews."
94,sumjessop2013,"\textit{Structuration} refers to the way institutions create constraints and incentives that shape actor behavior \citep{sumjessop2013}. In China's education system, the \textit{gaokao} is embedded in a network of institutional complementarities: labor markets screen by credentials from ranked universities; household registration (\textit{hukou}) systems restrict where students can take exams; social welfare and pension prospects correlate with educational attainment \citep{woronov2016class}. These structural dependencies mean that changing assessment methods would require simultaneous reforms across labor markets, welfare, and registration systems—a coordination challenge of immense complexity."
94,woronov2016class,"\textit{Structuration} refers to the way institutions create constraints and incentives that shape actor behavior \citep{sumjessop2013}. In China's education system, the \textit{gaokao} is embedded in a network of institutional complementarities: labor markets screen by credentials from ranked universities; household registration (\textit{hukou}) systems restrict where students can take exams; social welfare and pension prospects correlate with educational attainment \citep{woronov2016class}. These structural dependencies mean that changing assessment methods would require simultaneous reforms across labor markets, welfare, and registration systems—a coordination challenge of immense complexity."
96,zhang2017shadow;bray2009confronting,"Furthermore, a large-scale shadow education industry (estimated at hundreds of billions of RMB annually) has emerged with powerful vested interests in maintaining the examination-centered system \citep{zhang2017shadow, bray2009confronting}. This industry lobbies against reforms that would diversify evaluation criteria, framing its opposition in the language of fairness: ""Comprehensive evaluation would advantage the rich."""
100,jessop2004cultural,"CPE explains institutional stability and change through the concept of \textit{selectivities}—the ways in which structures and discourses filter which ideas, policies, and practices are selected, retained, or discarded. We operationalize this through the Variation-Selection-Retention (V-S-R) mechanism \citep{jessop2004cultural}."
110,pierson2000increasing;north1990institutions,"We employ path dependence theory \citep{pierson2000increasing, north1990institutions} as a sub-framework within CPE to specify the mechanisms of lock-in. Path dependence refers to processes where historical choices constrain later options through self-reinforcing mechanisms. The 1977 restoration of the \textit{gaokao} after the Cultural Revolution represents a \textit{critical juncture}—a moment when institutional choices were made under specific historical conditions (post-Cultural Revolution desire for meritocracy, urgent need for talent selection). Once established, this choice triggered feedback loops that made reversal increasingly costly \citep{arthur1994increasing, sydow2009organizational}."
110,arthur1994increasing;sydow2009organizational,"We employ path dependence theory \citep{pierson2000increasing, north1990institutions} as a sub-framework within CPE to specify the mechanisms of lock-in. Path dependence refers to processes where historical choices constrain later options through self-reinforcing mechanisms. The 1977 restoration of the \textit{gaokao} after the Cultural Revolution represents a \textit{critical juncture}—a moment when institutional choices were made under specific historical conditions (post-Cultural Revolution desire for meritocracy, urgent need for talent selection). Once established, this choice triggered feedback loops that made reversal increasingly costly \citep{arthur1994increasing, sydow2009organizational}."
